ts,current_bytes,peak_bytes
1781155630,2080935936,2566107136
1781155631,2080935936,2566107136
1781155632,2080935936,2566107136
1781155633,2080940032,2566107136
1781155634,2080882688,2566107136
1781155635,2080882688,2566107136
1781155636,2080894976,2566107136
1781155637,2080894976,2566107136
1781155638,2081067008,2566107136
1781155639,2081091584,2566107136
1781155640,2081095680,2566107136
1781155641,2081099776,2566107136
1781155642,2081067008,2566107136
1781155643,2081067008,2566107136
1781155644,2081067008,2566107136
1781155645,2081075200,2566107136
1781155646,2081173504,2566107136
1781155647,2081189888,2566107136
1781155648,2081886208,2566107136
1781155649,2117287936,2566107136
1781155650,2081878016,2566107136
1781155651,2081878016,2566107136
1781155652,2081398784,2566107136
1781155653,2081394688,2566107136
1781155654,2082074624,2566107136
1781155655,2081820672,2566107136
1781155656,2081832960,2566107136
1781155657,2116792320,2566107136
1781155658,2081898496,2566107136
1781155659,2081607680,2566107136
1781155660,2081603584,2566107136
1781155661,2081746944,2566107136
1781155662,2081742848,2566107136
1781155663,2081746944,2566107136
1781155664,2081742848,2566107136
1781155665,2081972224,2566107136
1781155666,2081710080,2566107136
1781155667,2081595392,2566107136
1781155668,2081558528,2566107136
1781155669,2081710080,2566107136
1781155670,2081710080,2566107136
1781155671,2082017280,2566107136
1781155672,2092355584,2566107136
1781155673,2081689600,2566107136
1781155674,2081705984,2566107136
1781155675,2081710080,2566107136
1781155676,2081742848,2566107136
1781155677,2081886208,2566107136
1781155678,2081882112,2566107136
1781155680,2090852352,2566107136
1781155681,2081910784,2566107136
1781155682,2081910784,2566107136
1781155683,2081910784,2566107136
1781155684,2081894400,2566107136
1781155685,2082054144,2566107136
1781155686,2082054144,2566107136
1781155687,2082058240,2566107136
1781155688,2082508800,2566107136
1781155689,2081980416,2566107136
1781155690,2082230272,2566107136
1781155691,2081976320,2566107136
1781155692,2082152448,2566107136
1781155693,2082144256,2566107136
1781155694,2082066432,2566107136
1781155695,2107191296,2566107136
1781155696,2081935360,2566107136
1781155697,2081931264,2566107136
1781155698,2081935360,2566107136
1781155699,2121891840,2566107136
1781155700,2125586432,2566107136
1781155701,2124996608,2566107136
1781155702,2125008896,2566107136
1781155703,2125017088,2566107136
1781155704,2139045888,2566107136
1781155705,2139049984,2566107136
1781155706,2139054080,2566107136
1781155707,2139058176,2566107136
1781155708,2139054080,2566107136
1781155709,2138996736,2566107136
1781155710,2137653248,2566107136
1781155711,2136633344,2566107136
1781155712,2136641536,2566107136
1781155713,2136641536,2566107136
1781155714,2122522624,2566107136
1781155715,2122518528,2566107136
